split_parent_id,scaffold_smiles,scaffold_id,is_acyclic,acyclic_cluster_id,scaffold_split_group_id
par_01034fef4b08fc141dd7,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,scf_01034fef4b08fc141dd7,False,,scf_01034fef4b08fc141dd7
par_0107815d8533d6ddb252,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_010de4da9e7e3f71845b,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_011072e791d7b29d7f0a,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0110aa072de18ddc726d,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0135ba1c2d9714494977,C1=NOC(c2ccccc2)(c2ccccc2)C1,scf_4914281ffa27f35888d2,False,,scf_4914281ffa27f35888d2
par_013c786bf15d9864e365,,,True,acy_23a1176314021ad41fb4,acy_23a1176314021ad41fb4
par_013fce2f4f1286a5e28a,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_015ee56358d80b06cbc2,c1ccc(Cc2ccccc2)cc1,scf_05784e2ddd36e41751a8,False,,scf_05784e2ddd36e41751a8
par_0160bb6e21e870d0735d,c1ccc2ccccc2c1,scf_a896d495b04a450b732a,False,,scf_a896d495b04a450b732a
par_0174ee292092c01656dd,,,True,acy_dc3c5eb921aa26eb7e07,acy_dc3c5eb921aa26eb7e07
par_0188e2f93b484b855044,,,True,acy_dc58fd15af13707eb0a7,acy_dc58fd15af13707eb0a7
par_018e4cd3924daddbf671,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_019207f858d2acbb5c6f,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_019ce55908dd80e8eae6,,,True,acy_dbdae54709b60499859f,acy_dbdae54709b60499859f
par_019e537177e8d9265483,C(=Cc1c(-c2ccccc2)[nH]c2ccccc12)C1=[NH+]c2ccccc2C1,scf_e7166dbf657f2096349c,False,,scf_e7166dbf657f2096349c
par_01a1f692762a62326c49,,,True,acy_a6b8131bf6343ec14c33,acy_a6b8131bf6343ec14c33
par_01a67ab6b5377ce0f693,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_01b2aa202c14c982b703,C1CC2CCC1C2,scf_8decb4ecd7f11859f828,False,,scf_8decb4ecd7f11859f828
par_01c739f5f61cdf42de86,,,True,acy_3e0ea233cde1b6a6b050,acy_3e0ea233cde1b6a6b050
par_01dbda92f3f7299697cd,c1ccc(Cc2ccccc2)cc1,scf_05784e2ddd36e41751a8,False,,scf_05784e2ddd36e41751a8
par_01ecdf92dc57daf649e9,,,True,acy_d7bcaaf715975880717a,acy_d7bcaaf715975880717a
par_01ed7985561d056b4c17,,,True,acy_2b95c277539a6dab6dd7,acy_2b95c277539a6dab6dd7
par_01f4860b66e6fe03df18,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0207bcc9f4cdbc008a3b,,,True,acy_75cc5e32ee4b4ca0f63f,acy_75cc5e32ee4b4ca0f63f
par_020aa5b6cd83563978a4,,,True,acy_5063f47bae8329fe2e55,acy_5063f47bae8329fe2e55
par_02148f544b43823d090b,O=C1c2ccccc2C(=O)c2ccccc21,scf_f0c6b09cfc7aa95a3893,False,,scf_f0c6b09cfc7aa95a3893
par_0217ad0a7f2e0c508e2b,O=C(Nc1ncccn1)NS(=O)(=O)c1ccn[nH]1,scf_13efb1522e0841eb6bf9,False,,scf_13efb1522e0841eb6bf9
par_022e5a54c4853dca6b6d,,,True,acy_f826b34e359f739f1a3f,acy_f826b34e359f739f1a3f
par_0244428d04c7731ef627,O=C1CC2(CCCC2)CC(=O)N1,scf_0244428d04c7731ef627,False,,scf_0244428d04c7731ef627
par_02574dda676803c1a4ef,,,True,acy_465d7c426c437bb17370,acy_465d7c426c437bb17370
par_025fe9f06b10ea5a8198,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_026074a05a2979b509f3,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_026c02e487840e8f462e,c1ncncn1,scf_89055dbbabf38236f98e,False,,scf_89055dbbabf38236f98e
par_02765021c314161f0320,C1=Cc2ccccc2CC1,scf_02765021c314161f0320,False,,scf_02765021c314161f0320
par_02785af34e15f09ed03f,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0279a55c5c3ee0456f06,C1CCC(O[C@@H]2OCC[C@H]2O[C@H]2CCCCO2)CC1.C1CCC(O[C@@H]2OCC[C@H]2O[C@H]2CCCCO2)CC1,scf_57dcff06cd28876a178d,False,,scf_57dcff06cd28876a178d
par_028330f20ad7ef48d9b7,,,True,acy_56ecf40745393b002e94,acy_56ecf40745393b002e94
par_028993f67da8b235461c,,,True,acy_9eae4619043c48c0c109,acy_9eae4619043c48c0c109
par_028c3774f9867cda57b2,c1ccncc1,scf_75c7a4b0b41e43900bfb,False,,scf_75c7a4b0b41e43900bfb
par_028c4ef2965d3693cd92,O=C1C=CCCC1,scf_9e258000d96cef27d5aa,False,,scf_9e258000d96cef27d5aa
par_02908da926463738e98d,C=C1C=C2CC[C@H]3CCCCC3[C@H]2CC1,scf_d0823888a801e8c98369,False,,scf_d0823888a801e8c98369
par_02a57526481095c70a3c,,,True,acy_a047ae3ca076de161e25,acy_a047ae3ca076de161e25
par_02b4c04cd5de056d1a9e,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_02ba796396af3293b419,c1ccc([CH2][SnH]([CH2]c2ccccc2)[CH2]c2ccccc2)cc1,scf_d4e637674eb138e1d5f4,False,,scf_d4e637674eb138e1d5f4
par_02dfbeb0570c184de677,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_02e2a1a340a57aa424bc,,,True,acy_a04448b0abe2c6cd88b2,acy_a04448b0abe2c6cd88b2
par_02f2b339d540d6324b66,O=C(OOC(=O)c1ccccc1)c1ccccc1,scf_6a6e4dd4b6c9c7c227ec,False,,scf_6a6e4dd4b6c9c7c227ec
par_02f6f3bcbff50bf4dd1e,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,scf_02f9fbcd400f7be38003,False,,scf_02f9fbcd400f7be38003
par_030b9ac9072811c2fa2f,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_031e1ae944a270c0fe7f,c1ccc2sccc2c1,scf_031e1ae944a270c0fe7f,False,,scf_031e1ae944a270c0fe7f
par_031f8c300bdb505273e5,O=C(NNC(=O)c1ccccc1)c1ccccc1,scf_284d7a472f11ddb287f2,False,,scf_284d7a472f11ddb287f2
par_0329aacbf2cdfb41aa6e,c1ccc(-c2ccccc2)cc1,scf_27dacb226b18e24b40e3,False,,scf_27dacb226b18e24b40e3
par_032c305e3465bd63db3e,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_032c65e17e4393e9c91a,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,scf_dd5d192b016bdf3547cd,False,,scf_dd5d192b016bdf3547cd
par_032cc13ffab376d34a20,c1ccc(NCn2cccn2)cc1,scf_65b44f45344d97f0025d,False,,scf_65b44f45344d97f0025d
par_03471812ed9592dc8c37,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_035e4c0417a1b9db3441,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0362af4a0d9923a1d168,C1CCCCC1,scf_a21c4f64dcc59dd2ede8,False,,scf_a21c4f64dcc59dd2ede8
par_036c5b01e49f2c2546d3,,,True,acy_5a9ff3d78ef197862d06,acy_5a9ff3d78ef197862d06
par_0372c124bb4549313e10,,,True,acy_f2097066b862c21a1d5a,acy_f2097066b862c21a1d5a
par_0373fc7447da0498e68e,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,scf_81afdce9b3af90dce1e7,False,,scf_81afdce9b3af90dce1e7
par_0375050eb980e8986af8,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0384a00192d687bb010a,c1ccc(-c2ccccc2)cc1,scf_27dacb226b18e24b40e3,False,,scf_27dacb226b18e24b40e3
par_038fe59d5ce46a634e53,,,True,acy_0390d65b060cb8db93d0,acy_0390d65b060cb8db93d0
par_0397b7d519f035cf2c42,,,True,acy_6b6d90b9006cce4fb99b,acy_6b6d90b9006cce4fb99b
par_03adede59f83403c22fb,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,scf_2eeed219961c69512cfc,False,,scf_2eeed219961c69512cfc
par_03b51bb2035b8d748af2,,,True,acy_8ba1359a905dabcd3f36,acy_8ba1359a905dabcd3f36
par_03b9b36b4414c4853245,O=C1C2CC3CC(C2)CC1C3,scf_03b9b36b4414c4853245,False,,scf_03b9b36b4414c4853245
par_03bb2ec6262a2fe832e2,,,True,acy_ebf158982c9f942530b9,acy_ebf158982c9f942530b9
par_03d48d9b658bf0c96e73,,,True,acy_596bab331e7cbd73abd6,acy_596bab331e7cbd73abd6
par_03f3edd6a130f07fa416,O=C1/C(=N/Nc2ccccc2)C=Cc2ccccc21,scf_68b41ecda5848447b198,False,,scf_68b41ecda5848447b198
par_03f44698f01b73ed9268,O=C(c1ccccc1)c1ccccc1,scf_113660f6820aa1505046,False,,scf_113660f6820aa1505046
par_03fd4ccf1a952357c12a,C1CCCCC1,scf_a21c4f64dcc59dd2ede8,False,,scf_a21c4f64dcc59dd2ede8
par_040661acc2ad6136ecd8,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0414c1da5e6d08e58806,c1ccc(Oc2ccccc2)cc1,scf_9affd80d02f471acfe8b,False,,scf_9affd80d02f471acfe8b
par_04177556eeb18c1a68e9,,,True,acy_74bf387a4970c6648dcf,acy_74bf387a4970c6648dcf
par_0419eee655c0be9c41cf,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_041cd5da6b8910c8451f,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0439436784788e3f1f2d,c1ccc(Cc2ccccc2)cc1,scf_05784e2ddd36e41751a8,False,,scf_05784e2ddd36e41751a8
par_0442d29e64e4bfd3f4e7,,,True,acy_57f510a8f4ce43675fa8,acy_57f510a8f4ce43675fa8
par_0444b630e628265046ff,O=C1CCCO1,scf_b2a02ad4ea5295cb11e1,False,,scf_b2a02ad4ea5295cb11e1
par_04502adc51a5e97aea0e,O=C(NCCc1ccccc1)c1ccccc1,scf_32cdc015c9af9635a869,False,,scf_32cdc015c9af9635a869
par_045d03489aff057323e6,,,True,acy_7fdd2664d01ab4b30430,acy_7fdd2664d01ab4b30430
par_045f2339001605c65220,,,True,acy_2e83ee5757c8ab0b6741,acy_2e83ee5757c8ab0b6741
par_0476847a2b8019f5266d,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_047776d5ef2b88bbb060,,,True,acy_7fdd2664d01ab4b30430,acy_7fdd2664d01ab4b30430
par_047aaa859de4a39a1f4a,,,True,acy_18b57b37a882d5d9cd21,acy_18b57b37a882d5d9cd21
par_047cc7df05701da4bf55,,,True,acy_dc679d7b802285c4fc8a,acy_dc679d7b802285c4fc8a
par_0482604b344d4741d840,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,scf_26d7014d9e57bf59cabd,False,,scf_26d7014d9e57bf59cabd
par_048d4e8fd0567976be0a,,,True,acy_2e707e18eff0b1348242,acy_2e707e18eff0b1348242
par_0492439137d552386789,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_049adfb4f1926a9a9957,,,True,acy_9a25ac9d66fe0a02d618,acy_9a25ac9d66fe0a02d618
par_04a03f058eccd2785575,,,True,acy_7be1ec555e427af5cfe0,acy_7be1ec555e427af5cfe0
par_04a3a4caaccb8d22469f,,,True,acy_d1e95ee0450b739e8186,acy_d1e95ee0450b739e8186
par_04a5a67822580ba87c07,C(=C/c1ccccc1)\c1ccccc1,scf_76fcb4d76b7334a113f3,False,,scf_76fcb4d76b7334a113f3
par_04b853598e54fa7b889a,c1cncnc1,scf_a3ad2a5dcc41ff79865e,False,,scf_a3ad2a5dcc41ff79865e
par_04cbe153c8ce9f2b3dba,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_04cdf796720efca246c4,O=[PH](Sc1ccccc1)Sc1ccccc1,scf_134236104d84f0724344,False,,scf_134236104d84f0724344
par_04d50b9398f6f7169b1b,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_04d8b67c258de9f611c4,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_04dc25ee088f919db954,O=C(Nc1ccccc1)C1CCCCC1,scf_9851bd40a886ff461728,False,,scf_9851bd40a886ff461728
par_04e5b05f05c8a6d31eb0,,,True,acy_6a24e5772cd4f9ecd9bd,acy_6a24e5772cd4f9ecd9bd
par_04faee65ead6464d7718,,,True,acy_3b8040854f3e839912d6,acy_3b8040854f3e839912d6
par_0513028480b251ca4b92,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0524b2a65fcdbdcdf9d6,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_053729b8f58cbba9f9b2,,,True,acy_bfbe987bdd59e47258d1,acy_bfbe987bdd59e47258d1
par_05414c444da3b74f4b80,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0554fedc7fe9fa9750ed,O=[PH]1Oc2ccccc2-c2ccccc21,scf_500eae1098dd4b6a9d63,False,,scf_500eae1098dd4b6a9d63
par_05581f7fc21043d9d22e,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_05784e2ddd36e41751a8,c1ccc(Cc2ccccc2)cc1,scf_05784e2ddd36e41751a8,False,,scf_05784e2ddd36e41751a8
par_058a5166aad442ac396b,O=c1nc[nH]cn1,scf_a65d652713be7c669085,False,,scf_a65d652713be7c669085
par_059878f5d89a9c0dfc23,,,True,acy_b3d48e05d0651e06ce0a,acy_b3d48e05d0651e06ce0a
par_059a5639143b77196924,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_05b5184f34f61747ed2d,,,True,acy_7faa3c51535ce5a431b1,acy_7faa3c51535ce5a431b1
par_05b9ad4cad64d3081bfb,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_05c07e7782df764deb6a,,,True,acy_32a8b125fad05ee6b8c9,acy_32a8b125fad05ee6b8c9
par_05c25f1223192a4c67ad,,,True,acy_a802c0c3c19597ae7b72,acy_a802c0c3c19597ae7b72
par_05c3665ea1a327497276,O=c1ccs[nH]1,scf_e9594c1d6bf486c43ac1,False,,scf_e9594c1d6bf486c43ac1
par_05d688ab8cf86f367e29,,,True,acy_a8ef8b6a05b82102b77b,acy_a8ef8b6a05b82102b77b
par_05f84c0bbdfc0ce27c0b,,,True,acy_2c8e102948cc1b06a4b7,acy_2c8e102948cc1b06a4b7
par_060c42cb40a9e9d17f56,O=C1CCCc2ccccc21,scf_69c1480e0722ad8943c8,False,,scf_69c1480e0722ad8943c8
par_060c65f577a9169bb046,,,True,acy_3317217b222206f303a6,acy_3317217b222206f303a6
par_060d9cf5c0d9fd3a09c4,c1ccc(Oc2ccccc2)cc1,scf_9affd80d02f471acfe8b,False,,scf_9affd80d02f471acfe8b
par_062cd891b4c7663c2f15,c1ccc(Nc2ccccc2)cc1,scf_66594b79d38dcf0e9b76,False,,scf_66594b79d38dcf0e9b76
par_062eaa516f14b0cd8194,c1ccc2c(Cc3cccc4ccccc34)cccc2c1,scf_eaf580823b168ab84b2d,False,,scf_eaf580823b168ab84b2d
par_064620618a0bffc697a6,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0648d320f6fa6cbc3d72,,,True,acy_563186561ba45311f9e9,acy_563186561ba45311f9e9
par_064a059f80764501b2ff,,,True,acy_37243fcbcc46d6573ffe,acy_37243fcbcc46d6573ffe
par_064a21c9bd78b8e53b78,,,True,acy_02d3c252cb9b05c81215,acy_02d3c252cb9b05c81215
par_0663c128b707d725b8e8,O=C1CCNCC1,scf_ed34a6864c3543af6a7e,False,,scf_ed34a6864c3543af6a7e
par_066abc0067e8ad471365,,,True,acy_bd733a0394d0465e8b70,acy_bd733a0394d0465e8b70
par_067770f11b6191f4d62b,C(=C/c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1)\c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,scf_972d42ee79710c79e0ac,False,,scf_972d42ee79710c79e0ac
par_06822d41767ae4e9153d,,,True,acy_d1e95ee0450b739e8186,acy_d1e95ee0450b739e8186
par_0688d8f268d3eb9df717,,,True,acy_ce8d6961677449a92293,acy_ce8d6961677449a92293
par_06acac075033433d58c2,,,True,acy_d731d91393648b1529a1,acy_d731d91393648b1529a1
par_06ad616fccceb47a568b,,,True,acy_0d76656c46eb7ace07a5,acy_0d76656c46eb7ace07a5
par_06cdfaf3364e4b24286f,C1N2CN3CN1C[NH+](C2)C3,scf_d1c7957cfeade1696b72,False,,scf_d1c7957cfeade1696b72
par_06da56d919d8349f11b6,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_06e285d30c4d84eef27a,,,True,acy_45ed9825d6ec4df053e1,acy_45ed9825d6ec4df053e1
par_06e45383ad9ddb1532a7,,,True,acy_2582886d319ad1868a60,acy_2582886d319ad1868a60
par_06f9fdeb27fb6ddf2409,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_06fa6fe8f6db61ec7927,c1ccc([C+](c2ccccc2)c2ccccc2)cc1,scf_f5b1800ae20f7fd460d1,False,,scf_f5b1800ae20f7fd460d1
par_06fa7cef96696340b297,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_070d85ddd27b46d448b4,,,True,acy_4857c8ef1564a840fc49,acy_4857c8ef1564a840fc49
par_071412ea5a2421e1d128,,,True,acy_b37ecc9683db04478a1c,acy_b37ecc9683db04478a1c
par_072e756f1d226ad3fb02,,,True,acy_4f6f3562a2839f050fbc,acy_4f6f3562a2839f050fbc
par_072ff17ba58316da531f,O=C1C=CC(=Nc2ccccc2)C=C1,scf_f06b161ea85d7067a02c,False,,scf_f06b161ea85d7067a02c
par_074467a95cb452bc36ef,,,True,acy_299d97b13375f09dcb46,acy_299d97b13375f09dcb46
par_0748894f7a0e7ccd3972,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0757829b8c6320e44d1e,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,scf_0757829b8c6320e44d1e,False,,scf_0757829b8c6320e44d1e
par_075d11555ae5646eaca0,C1C[NH+]2CC[NH+]1CC2,scf_fdc0d9bac46d71dc9c6d,False,,scf_fdc0d9bac46d71dc9c6d
par_07614ed4e74ed4d70847,,,True,acy_756f802c929d2237a626,acy_756f802c929d2237a626
par_0768cae5eddce8b34280,O=C1C=CC(=Nc2ccccc2)C=C1,scf_f06b161ea85d7067a02c,False,,scf_f06b161ea85d7067a02c
par_076f990333cad32c4cfe,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,scf_076f990333cad32c4cfe,False,,scf_076f990333cad32c4cfe
par_077939239fa1797a283a,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0799947ca28e8295fb2d,,,True,acy_af5d8d647966b0cc7204,acy_af5d8d647966b0cc7204
par_079def5d27aaa9ebb85a,,,True,acy_d234ffb6b8e4b516432d,acy_d234ffb6b8e4b516432d
par_07a574d902d9e37cca33,,,True,acy_2da5d2b0dc5edf2e5798,acy_2da5d2b0dc5edf2e5798
par_07ba4a3e550f7b956521,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cc(Oc3ccccc3)cc21,scf_372131757c8ae3bcf479,False,,scf_372131757c8ae3bcf479
par_07c10a1870e7b9a6a22b,C1CCCCC1,scf_a21c4f64dcc59dd2ede8,False,,scf_a21c4f64dcc59dd2ede8
par_07cfd715c5c79bc0e08e,,,True,acy_dc3c5eb921aa26eb7e07,acy_dc3c5eb921aa26eb7e07
par_07d961449d7fd570e0af,,,True,acy_299d97b13375f09dcb46,acy_299d97b13375f09dcb46
par_07d997706d3b817a40b5,,,True,acy_d7c1c4e8cddafc5d8ee7,acy_d7c1c4e8cddafc5d8ee7
par_07dcaf02bd615a4540d7,,,True,acy_9d85ff69c349a8a519ef,acy_9d85ff69c349a8a519ef
par_07e1f1bf25f627111f35,O=C(Nc1ccccc1)c1ccccc1,scf_46dbe06a66c3ecbfaeeb,False,,scf_46dbe06a66c3ecbfaeeb
par_07fca8b5061806150405,,,True,acy_95461d3fb264c183eaaa,acy_95461d3fb264c183eaaa
par_0803a52a4c53572acfb9,C1NCNCN1,scf_83a4733f71e79fbfab98,False,,scf_83a4733f71e79fbfab98
par_080980624d3a5373c43e,O=C1/C(=N\Nc2ccccc2)C=Cc2cc(Nc3ncnc(Nc4ccccc4)n3)ccc21,scf_b09d66436ca2a768b574,False,,scf_b09d66436ca2a768b574
par_0813d1fc70c8668afe2c,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_081e4fe98989e2c79e89,c1ccc(Nc2ccccc2)cc1,scf_66594b79d38dcf0e9b76,False,,scf_66594b79d38dcf0e9b76
par_08312ff41db90d369276,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0839204b1b9a51027b70,,,True,acy_6848e15019961f75e112,acy_6848e15019961f75e112
par_084c9b2ac494ed1aad93,c1ccc(COc2ccn(-c3ccccc3)n2)cc1,scf_f651e7738604e253d89d,False,,scf_f651e7738604e253d89d
par_084ddb592d0ed89ae165,C1=CC2CCC1C2,scf_4803c0f3b9aad24aab1b,False,,scf_4803c0f3b9aad24aab1b
par_08549a07d4ad50e5751d,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,scf_16163a52161df90e519d,False,,scf_16163a52161df90e519d
par_085a1c99de8da865aecb,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0891bdabcbf9e642300e,,,True,acy_a33debec8edb1210d5b0,acy_a33debec8edb1210d5b0
par_0895fd50b01ca1587016,,,True,acy_8659186cbca55a09cf75,acy_8659186cbca55a09cf75
par_089ab51f23001bb951b8,C1CCNC1,scf_487ed2dcbfa239f0ffcc,False,,scf_487ed2dcbfa239f0ffcc
par_089e0ca298bc76e6fd84,,,True,acy_dba5f1615e885638bfa6,acy_dba5f1615e885638bfa6
par_08a34c7c1a294387dcd4,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,scf_2ecd78b700d5afe2adcd,False,,scf_2ecd78b700d5afe2adcd
par_08b80a519b17b970805e,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_08cd460e83c89f88a088,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_08d74031e574499c53f4,,,True,acy_7b1b91336e759115eeb7,acy_7b1b91336e759115eeb7
par_08d75ff3f1f8929fd424,,,True,acy_ebca1cf57412ec58f38f,acy_ebca1cf57412ec58f38f
par_08eb4e84f3757c99f3cd,,,True,acy_f6d4b7da0409beac4724,acy_f6d4b7da0409beac4724
par_08f91d93a557e18e3e2a,,,True,acy_1c07da9b2b2a1b7957c8,acy_1c07da9b2b2a1b7957c8
par_0905347870d9c6729d61,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_093472a68ac78f48f9a5,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0934dc7e9fe6746d5fa1,,,True,acy_299d97b13375f09dcb46,acy_299d97b13375f09dcb46
par_0937098a5395472bafff,,,True,acy_fc0caeb4db8e400a6f8a,acy_fc0caeb4db8e400a6f8a
